Course Listing,Section,Instructional Format,Delivery Mode,Meeting Patterns,Instructor
CPSC_V 210 - Software Construction,CPSC_V 210-202 - Software Construction,Lecture,In Person Learning,"2025-01-06 - 2025-02-14 | Mon Wed Fri | 11:00 a.m. - 12:00 p.m. | LIFE-Floor 2-Room 2201

2025-02-24 - 2025-04-07 | Mon Wed Fri | 11:00 a.m. - 12:00 p.m. | LIFE-Floor 2-Room 2201",Norman Hutchinson

CPSC_V 210 - Software Construction,CPSC_V 210-L2K - Software Construction,Laboratory,In Person Learning,"2025-01-09 - 2025-02-13 | Thu | 3:00 p.m. - 5:00 p.m. | ICCS-Floor B1-Room X050
